log_id,person_id,car_plate,check_in,check_out
1,1,CAR101,"2024-06-01 09:00:00","2024-06-01 11:00:00"
2,2,CAR102,"2024-06-01 10:00:00","2024-06-01 13:00:00"
3,3,CAR103,"2024-06-01 09:30:00","2024-06-01 10:30:00"
4,4,CAR104,"2024-06-01 11:00:00","2024-06-01 14:00:00"
5,5,CAR105,"2024-06-01 08:00:00","2024-06-01 12:00:00"
6,6,CAR106,"2024-06-01 09:00:00","2024-06-01 10:00:00"
7,7,CAR107,"2024-06-01 09:15:00","2024-06-01 11:15:00"
8,8,CAR108,"2024-06-01 10:00:00","2024-06-01 12:00:00"
9,9,CAR109,"2024-06-01 08:30:00","2024-06-01 09:30:00"
10,10,CAR110,"2024-06-01 09:00:00","2024-06-01 11:00:00"
11,11,CAR111,"2024-06-01 10:00:00","2024-06-01 12:00:00"
12,12,CAR112,"2024-06-01 08:00:00","2024-06-01 10:00:00"
13,13,CAR113,"2024-06-01 07:00:00","2024-06-01 11:00:00"
14,14,CAR114,"2024-06-01 09:00:00","2024-06-01 10:00:00"
15,15,CAR115,"2024-06-01 10:00:00","2024-06-01 12:00:00"
16,16,CAR116,"2024-06-01 08:00:00","2024-06-01 09:00:00"
17,17,CAR117,"2024-06-01 09:00:00","2024-06-01 11:00:00"
18,18,CAR118,"2024-06-01 09:00:00","2024-06-01 10:00:00"
19,19,CAR119,"2024-06-01 08:00:00","2024-06-01 10:00:00"
20,20,CAR120,"2024-06-01 08:00:00","2024-06-01 13:00:00"
